timestamp,ens210_status,temperature_c,temperature_f,humidity,ens16x_status,etvoc,eco2,aqi
1223400,1,22.68,72.82,39.95,OK,206,783,174
1224410,1,22.68,72.82,39.95,OK,202,777,170
1225420,1,22.71,72.88,39.93,OK,199,774,169
1226430,1,22.71,72.88,39.93,OK,202,777,171
1227440,1,22.71,72.88,40.0,OK,206,782,174
1228450,1,22.69,72.85,40.05,OK,206,782,174
1229460,1,22.68,72.82,40.11,OK,207,784,175
1230470,1,22.69,72.85,40.11,OK,211,789,177
1231480,1,22.69,72.85,40.09,OK,203,779,172
1232490,1,22.68,72.82,40.07,OK,206,782,173
1233500,1,22.68,72.82,40.05,OK,211,789,177
1234510,1,22.71,72.88,40.05,OK,212,790,177
1235520,1,22.69,72.85,40.03,OK,210,788,175
1236530,1,22.68,72.82,40.03,OK,209,786,174
1237540,1,22.68,72.82,40.05,OK,207,784,173
1238550,1,22.66,72.79,40.03,OK,203,779,171
1239560,1,22.68,72.82,40.05,OK,206,782,172
1240570,1,22.66,72.79,40.05,OK,204,780,172
1241580,1,22.68,72.82,40.03,OK,209,787,175
1242590,1,22.68,72.82,40.07,OK,213,791,177
1243600,1,22.68,72.82,40.13,OK,207,784,173
1244610,1,22.69,72.85,40.11,OK,206,783,172
1245620,1,22.66,72.79,40.11,OK,211,789,175
1246630,1,22.66,72.79,40.11,OK,204,780,170
1247640,1,22.68,72.82,40.07,OK,207,784,172
1248650,1,22.66,72.79,40.07,OK,206,782,172
1249660,1,22.66,72.79,40.03,OK,211,789,175
1250670,1,22.65,72.76,40.07,OK,215,794,177
1251680,1,22.68,72.82,40.11,OK,211,789,174
1252690,1,22.69,72.85,40.11,OK,211,789,174
1253700,1,22.66,72.79,40.11,OK,213,792,176
1254710,1,22.68,72.82,40.05,OK,213,792,175
1255720,1,22.66,72.79,40.03,OK,220,800,179
1256730,1,22.65,72.76,40.07,OK,219,799,178
1257740,1,22.68,72.82,40.01,OK,219,799,177
1258750,1,22.66,72.79,40.03,OK,220,800,178
1259760,1,22.65,72.76,40.05,OK,218,798,176
1260770,1,22.65,72.76,40.05,OK,217,797,176
1261780,1,22.66,72.79,40.07,OK,211,789,172
1262790,1,22.65,72.76,40.03,OK,213,792,173
1263800,1,22.68,72.82,40.05,OK,216,796,176
1264810,1,22.66,72.79,40.07,OK,219,799,177
1265820,1,22.63,72.74,40.07,OK,233,806,180
1266830,1,22.66,72.79,40.11,OK,231,805,179
1267840,1,22.63,72.74,40.11,OK,231,805,179
1268850,1,22.63,72.74,40.11,OK,237,808,180
1269860,1,22.66,72.79,40.15,OK,253,815,183
1270870,1,22.63,72.74,40.14,OK,251,814,182
1271880,1,22.66,72.79,40.19,OK,257,817,183
1272890,1,22.65,72.76,40.19,OK,266,821,185
1273900,1,22.63,72.74,40.22,OK,260,818,183
1274910,1,22.65,72.76,40.22,OK,269,822,184
1275920,1,22.65,72.76,40.2,OK,275,825,185
1276930,1,22.63,72.74,40.26,OK,275,825,185
1277940,1,22.66,72.79,40.27,OK,277,826,185
1278950,1,22.63,72.74,40.26,OK,284,829,186
1279960,1,22.6,72.68,40.3,OK,286,830,186
